Código;Tipo;Nome
1;P;João Felipe Gonçalves
2;P;Guilherme Monteiro
3;U;Sofia das Neves
4;P;Gustavo Henrique Farias
5;P;Igor Moura
6;P;Manuela Azevedo
7;A;Melissa Teixeira
8;P;Ana Laura Costa
9;U;Maria Vitória Cavalcanti
10;P;Alexia Barros
11;A;Dr. Marcos Vinicius Araújo
12;A;Marcela Barbosa
13;U;Luiza Silveira
14;P;Igor Campos
15;U;Sr. Anthony Costa
16;A;Mirella Mendes
17;P;Luiz Felipe Castro
18;A;Enzo Gabriel Alves
19;P;Helena Martins
20;A;Isabella Rodrigues
21;A;Anthony da Conceição
22;A;Sr. Luiz Gustavo Gonçalves
23;U;André da Costa
24;A;Lucca Correia
25;U;Pedro Pereira
26;A;Sophie da Rocha
27;U;Lucas Souza
28;U;Caio Souza
29;A;João Felipe Moreira
30;U;Laura Pereira
31;U;Ana Beatriz Rocha
32;U;Cauã Jesus
33;P;Leonardo Santos
34;U;Henrique Costela
35;U;Kamilly da Costa
36;A;Kamilly Gomes
37;A;Sra. Sophia Cunha
38;A;Ian da Cunha
39;A;Pietra da Rosa
40;P;João Guilherme Vieira
41;A;Ana Júlia da Cruz
42;A;Rafael Silveira
43;P;Sabrina Campos
44;P;Ana Júlia Cavalcanti
45;U;Ana Luiza Cavalcanti
46;A;Ana Laura Cavalcanti
47;A;Vitor Gabriel Silveira
48;P;Henrique Costa
49;P;Marcos Vinicius da Conceição
50;U;Letícia Nascimento
